Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,09/17/2026,DEPOSIT PALM COURT RENTALS,600.00,DEPOSIT,12122.06,,
DEBIT,09/16/2026,HOME DEPOT #0472 MIAMI FL,-96.18,DEBIT_CARD,11522.06,,
DEBIT,09/15/2026,ACH DEBIT ALLSTATE INSURANCE,-415.00,ACH_DEBIT,11618.24,,
CREDIT,09/12/2026,DEPOSIT SUNRISE PROPERTY MGMT,1850.00,DEPOSIT,12033.24,,
DEBIT,09/11/2026,ACH DEBIT CITY WATER DEPT,-86.40,ACH_DEBIT,10183.24,,
DEBIT,09/09/2026,HOME DEPOT #0472 MIAMI FL,-212.64,DEBIT_CARD,10269.64,,
DEBIT,09/08/2026,ACH DEBIT FPL ELECTRIC UTILITY,-298.17,ACH_DEBIT,10482.28,,
CHECK,09/04/2026,CHECK 1044,-650.00,CHECK_PAID,10780.45,1044,
DEBIT,09/02/2026,ONLINE TRANSFER TO CHASE CARD 7788,-1200.00,ACCT_XFER,11430.45,,
CREDIT,09/01/2026,DEPOSIT PALM COURT RENTALS,2400.00,DEPOSIT,12630.45,,
